ID,TEXT,LABEL
1,فى الصوره الدكتور خالد العدوى  وزير الصحه المصرى فى 2015 وضيف اجنبى بيعملو اتفاقية  الوزير المصرى عنده سكرتيره  بتقلب الورق عشان ميتعبش نفسه  الضيف الأجنبى بيقلب لنفسه   المفاجاه إللى بتقلب الورق فى أقل من أربع سنوات  بقت وزيره الصحة الحالية🤭   اللي بتعرف تقلب ورق تبعتلي الCV خاص😂 https://t.co/5RmsvUehI2,1
2,"""الشرطة الأمريكية تشتري المسدسات الروسية#سبوتنيك #الولايات_المتحدة https://t.co/r5DeK52Hb0 https://t.co/AVxydf1G8m""",0
3, الاستاذه ميريام فارس ليها اغاني حلوه فشخ مش واخده حقها ,0
4,أبو عقرب صادر ضده حكمين إعدام ...مدان فى قضايا اغتيال وتفجيرات .. أفرج عنه #مرسى اليوم بعفو رئاسى !!! #مصر   #احا,1
5,"كان نفسي اتولد في حقبه زمنيه مفهاش مرض البرد ، بدل منا قاعد عامل زي الفرخه الدايخه كدا",1
6,"""استحوذ عليهم الشيطان فأنساهم ذكر اللـه ۚ أولئك حزب الشيطان ۚ ألا إن حزب الشيطان هم الخاسرون ﴿١٩﴾ -- سورة المجادلة #Quran""",0
7,الشب طويل,0
8,"""#عاجل | #أردوغان أمام الجمعية البرلمانية لـ #الناتو: نريد منكم أن تضعوا حدا لتحركات أعضاء المنظمات الإرهابية في بلادكم ولأنشطتهم الدعائية""",0
9,"""ها علاش روسيا صفحت لتركيا و تنازلت عن حقها في قضية إسقاط الطائرة روخوي و مقتل قائدها.""",0
10,أبو بكر : ترامب دون أن يدري أعطى زخمًا للقضية الفلسطينية من جديد التفاصيل هنا :,0
11,"""#شاهد مظاهرات اليوم أمام سفارتي روسيا وإيران بجاكرتا في إندونيسيا تضامنًا مع #حلب https://t.co/My7VVgurfp""",0
12,الواحد خايف يستورد كمامات من الصين تطلع الكمامه نفسها متفيرسه 😂,0
13,"""«الهلال الاحمر الكويتي»: وقعنا اتفاقية مع «الهلال القطري» لتوزيع المساعدات الإغاثية على النازحين السوريين من حلب""",0
14,كريمات كريمات كريمات وداعا للتجعيد,1
15,الاوادم الطرابلسية خسروا بس ولد لا يفقه بشيئ غير انو عيلته تداولت السياسة بالماضي يربح؟  ,1
16,ان التانيه هتلاقي نفس مصير الاولى الي كانت حلوة وجميله وزوجها طفاها,0
17,_وزيرة الصحه المصريه 👇  _ ما هوه يا أخدناه يا واخدينه يا هناخده يا بناخده 😲😂,1
18,النائب العام يأمر بإحالة الطبيب المتهم بالتنمر على ممرض وآخرين للمحاكمة الجنائية,0
19,"اخلاء سبيل قتلة الأربع بنات بتوع المنصورة، عجبا ! يفرج عن متهم في جريمة قتل بكفالة، ويعتقل غيره بدون جريرة",1
20,"""Retweeted سامي البشير المرشد (@sbm1956):نتمنى على وزير #اوباما #كيري ان يبتعد عن الملف اليمني فقد كفانا شرا في... https://t.co/cgGKnvmm15""",0
21,#جنايات_المنيا : تصدر حكماً بإعدام 37 إرهابيا اخوانياً وبحبك 492 لمده 25 عاما في قضيه اعمال العنف بمطاي بعد عزل الرئيس الخائن #محمد_مرسي,0
22,أن تصمُت اليوم بأكمله  بدون أن تقرأ أي صحيفة  ولا تستمع الى أي إذاعة فى الراديو  ولا تشارك أو تستمع الى أي ثرثرة أو نميمة فارغة  وأن تكون كسولاً تماماً  ولا تهتم إطلاقاً الى أين يذهب العالم ! فذلك كله هو أفضل دواء يمكن للإنسان أن يمنحه لنفسه !  هنري ميلر,0
23,راكب ميكروباص ودخلنا علي كمين وأنا ناسي الكمامة بتاعتي !  واحدة قلعتلي باندانة الشعر بتاعتها وقالتلي ما تخافش أنا حاطة زيت فاتيكا !  قولتلها لو الشعر مقصف ماشي ؟ 🤔  بجد شكراً للناس اللي بتظهر وقت الزنقة 😂😂 https://t.co/1hectoqd5C,1
24,"""RT @Nagymoh71489060: @suolaick1 انفاق قناه السويس.               الله عليك يا سيسى زعيم لا ينظر تحت اقدامه  يعمل لما بعد الرحيل      كان ال…""",0
25,"""للمحافظة على جمال شعرك ينصح بغسل الشعر مره واحده عند الإستحمام، وتخفيف الشامبو بالماء قبل وضعه على الشعر #ريال_مدريد""",0
26,مفيش منطقة في مصر مفهاشانجاز #الجمهورية_الجديدة,0
27,"""اخبار الدوري الاسباني - توران: توصلت بعرض بقيمة 50 مليون وهذا رد برشلونة https://t.co/BFjZQRGwnc""",0
28,"""موسكو تكثف اتصالاتها مع أنقرة وطهران لبحث التسوية السورية https://t.co/9RQfdgcdzl""",0
29,الزعيم العربي حتئ وان أدت تصرفاته إلئ هلاك نصف الشعب وهجرة النصف الآخر يبقئ هوه حامي حمى آلامه  ,1
30,يسلام ع النضافه يسلام بشرتي بقت جديده جديده نوفي حطيت ماسك و حاسس ان نفسيتي اتحسنت,0
